scene,method,len,jerk2,snap2,minClr,corrViol,penViol,penViolObs,vmax,amax,T,ms,pieces
0,A. MINCO+SFC (원본),19.5003,57.39,437.55,0.1858,0.00000,0.14861,0.14861,3.014,2.850,8.014,7.01,18
0,B. 같은점·시간 균일고정,19.5003,220.51,5151.11,0.1847,0.00000,0.15000,0.15000,3.409,4.586,8.014,0.00,18
0,C. 웨이포인트 고정,20.3731,392.16,7466.50,0.3486,0.00000,0.00000,0.00000,3.000,5.745,11.273,0.00,11
0,D. B-스플라인+앵커,21.3458,81.99,27966.24,0.8409,0.00000,0.00000,0.00000,3.000,2.967,10.478,1.44,17
1,A. MINCO+SFC (원본),19.5098,63.45,485.72,0.2307,0.00000,0.12178,0.12178,3.012,2.886,8.021,5.65,18
1,B. 같은점·시간 균일고정,19.5098,274.38,6203.09,0.2294,0.00000,0.12355,0.12355,3.242,6.400,8.021,0.00,18
1,C. 웨이포인트 고정,20.0501,460.88,9704.20,0.4136,0.00000,0.00000,0.00000,2.940,6.000,11.128,0.00,11
1,D. B-스플라인+앵커,20.9601,70.19,34116.13,0.7673,0.00000,0.00000,0.00000,3.000,3.390,10.183,1.30,17
2,A. MINCO+SFC (원본),19.2634,71.57,587.46,0.1293,0.00000,0.17066,0.17066,3.015,2.961,7.876,5.88,18
2,B. 같은점·시간 균일고정,19.2634,226.45,4742.59,0.1293,0.00000,0.16971,0.16971,3.229,4.700,7.876,0.00,18
2,C. 웨이포인트 고정,20.2504,438.10,9078.76,0.5695,0.00000,0.00000,0.00000,2.980,6.000,11.195,0.00,11
2,D. B-스플라인+앵커,21.1616,207.10,101195.73,0.4078,0.00000,0.00000,0.00000,3.000,5.286,12.424,1.41,17
