scene,kind,a,b,c
0,obs,5.000,7.000,1.100
0,obs,9.000,4.200,1.300
0,obs,9.000,10.000,1.300
0,obs,13.000,7.000,1.500
0,obs,17.000,4.500,1.200
0,obs,17.000,9.500,1.200
0,start,1.500,7.000,0
0,goal,20.500,7.000,0
0,path,1.500,7.000,0
0,path,1.700,7.100,0
0,path,1.900,7.100,0
0,path,2.100,7.300,0
0,path,2.300,7.300,0
0,path,2.500,7.300,0
0,path,2.700,7.300,0
0,path,2.900,7.300,0
0,path,3.100,7.500,0
0,path,3.300,7.700,0
0,path,3.500,7.900,0
0,path,3.700,8.100,0
0,path,3.900,8.300,0
0,path,4.100,8.500,0
0,path,4.300,8.500,0
0,path,4.500,8.700,0
0,path,4.700,8.700,0
0,path,4.900,8.700,0
0,path,5.100,8.700,0
0,path,5.300,8.700,0
0,path,5.500,8.700,0
0,path,5.700,8.700,0
0,path,5.900,8.700,0
0,path,6.100,8.700,0
0,path,6.300,8.700,0
0,path,6.500,8.700,0
0,path,6.700,8.700,0
0,path,6.900,8.700,0
0,path,7.100,8.700,0
0,path,7.300,8.700,0
0,path,7.500,8.700,0
0,path,7.700,8.500,0
0,path,7.900,8.500,0
0,path,8.100,8.300,0
0,path,8.300,8.100,0
0,path,8.500,8.100,0
0,path,8.700,8.100,0
0,path,8.900,8.100,0
0,path,9.100,8.100,0
0,path,9.300,8.100,0
0,path,9.500,8.100,0
0,path,9.700,8.100,0
0,path,9.900,8.100,0
0,path,10.100,8.100,0
0,path,10.300,8.100,0
0,path,10.500,8.100,0
0,path,10.700,8.100,0
0,path,10.900,8.100,0
0,path,11.100,8.100,0
0,path,11.300,8.300,0
0,path,11.500,8.500,0
0,path,11.700,8.700,0
0,path,11.900,8.900,0
0,path,12.100,8.900,0
0,path,12.300,9.100,0
0,path,12.500,9.100,0
0,path,12.700,9.100,0
0,path,12.900,9.100,0
0,path,13.100,9.100,0
0,path,13.300,9.100,0
0,path,13.500,9.100,0
0,path,13.700,9.100,0
0,path,13.900,9.100,0
0,path,14.100,9.100,0
0,path,14.300,9.100,0
0,path,14.500,9.100,0
0,path,14.700,9.100,0
0,path,14.900,9.100,0
0,path,15.100,8.900,0
0,path,15.300,8.700,0
0,path,15.500,8.500,0
0,path,15.700,8.300,0
0,path,15.900,8.100,0
0,path,16.100,7.900,0
0,path,16.300,7.700,0
0,path,16.500,7.700,0
0,path,16.700,7.700,0
0,path,16.900,7.700,0
0,path,17.100,7.700,0
0,path,17.300,7.700,0
0,path,17.500,7.700,0
0,path,17.700,7.700,0
0,path,17.900,7.700,0
0,path,18.100,7.700,0
0,path,18.300,7.700,0
0,path,18.500,7.700,0
0,path,18.700,7.700,0
0,path,18.900,7.700,0
0,path,19.100,7.700,0
0,path,19.300,7.700,0
0,path,19.500,7.500,0
0,path,19.700,7.500,0
0,path,19.900,7.300,0
0,path,20.100,7.300,0
0,path,20.300,7.100,0
0,path,20.500,7.000,0
1,obs,7.000,3.000,2.600
1,obs,7.000,11.000,2.600
1,obs,13.000,3.200,2.600
1,obs,13.000,10.800,2.600
1,obs,18.000,7.000,1.000
1,start,1.500,7.000,0
1,goal,20.500,7.000,0
1,path,1.500,7.000,0
1,path,1.700,7.100,0
1,path,1.900,7.100,0
1,path,2.100,7.100,0
1,path,2.300,7.100,0
1,path,2.500,7.100,0
1,path,2.700,7.100,0
1,path,2.900,7.100,0
1,path,3.100,7.100,0
1,path,3.300,7.100,0
1,path,3.500,7.100,0
1,path,3.700,7.100,0
1,path,3.900,7.100,0
1,path,4.100,7.100,0
1,path,4.300,7.100,0
1,path,4.500,7.100,0
1,path,4.700,7.100,0
1,path,4.900,7.100,0
1,path,5.100,7.100,0
1,path,5.300,7.100,0
1,path,5.500,7.100,0
1,path,5.700,7.100,0
1,path,5.900,7.100,0
1,path,6.100,7.100,0
1,path,6.300,7.100,0
1,path,6.500,7.100,0
1,path,6.700,7.100,0
1,path,6.900,7.100,0
1,path,7.100,7.100,0
1,path,7.300,7.100,0
1,path,7.500,7.100,0
1,path,7.700,7.100,0
1,path,7.900,7.100,0
1,path,8.100,7.100,0
1,path,8.300,7.100,0
1,path,8.500,7.100,0
1,path,8.700,7.100,0
1,path,8.900,7.100,0
1,path,9.100,7.100,0
1,path,9.300,7.100,0
1,path,9.500,7.100,0
1,path,9.700,7.100,0
1,path,9.900,7.100,0
1,path,10.100,7.100,0
1,path,10.300,7.100,0
1,path,10.500,7.100,0
1,path,10.700,7.100,0
1,path,10.900,7.100,0
1,path,11.100,7.100,0
1,path,11.300,7.100,0
1,path,11.500,7.100,0
1,path,11.700,7.100,0
1,path,11.900,7.100,0
1,path,12.100,7.100,0
1,path,12.300,7.100,0
1,path,12.500,7.100,0
1,path,12.700,7.100,0
1,path,12.900,7.100,0
1,path,13.100,7.100,0
1,path,13.300,7.100,0
1,path,13.500,7.100,0
1,path,13.700,7.100,0
1,path,13.900,7.100,0
1,path,14.100,7.100,0
1,path,14.300,7.100,0
1,path,14.500,7.100,0
1,path,14.700,7.100,0
1,path,14.900,7.100,0
1,path,15.100,7.100,0
1,path,15.300,7.100,0
1,path,15.500,7.100,0
1,path,15.700,7.100,0
1,path,15.900,7.100,0
1,path,16.100,7.300,0
1,path,16.300,7.500,0
1,path,16.500,7.700,0
1,path,16.700,7.900,0
1,path,16.900,8.100,0
1,path,17.100,8.300,0
1,path,17.300,8.500,0
1,path,17.500,8.500,0
1,path,17.700,8.700,0
1,path,17.900,8.700,0
1,path,18.100,8.700,0
1,path,18.300,8.700,0
1,path,18.500,8.500,0
1,path,18.700,8.500,0
1,path,18.900,8.300,0
1,path,19.100,8.100,0
1,path,19.300,7.900,0
1,path,19.500,7.700,0
1,path,19.700,7.500,0
1,path,19.900,7.300,0
1,path,20.100,7.300,0
1,path,20.300,7.100,0
1,path,20.500,7.000,0
2,obs,4.500,5.000,0.950
2,obs,4.500,9.000,0.950
2,obs,7.500,7.000,0.950
2,obs,7.500,3.000,0.950
2,obs,7.500,11.000,0.950
2,obs,10.500,5.000,0.950
2,obs,10.500,9.000,0.950
2,obs,13.500,7.000,0.950
2,obs,13.500,3.200,0.950
2,obs,13.500,10.800,0.950
2,obs,16.500,5.000,0.950
2,obs,16.500,9.000,0.950
2,start,1.500,7.000,0
2,goal,20.500,7.000,0
2,path,1.500,7.000,0
2,path,1.700,7.100,0
2,path,1.900,7.100,0
2,path,2.100,7.100,0
2,path,2.300,7.100,0
2,path,2.500,7.100,0
2,path,2.700,7.100,0
2,path,2.900,7.100,0
2,path,3.100,7.100,0
2,path,3.300,7.100,0
2,path,3.500,7.100,0
2,path,3.700,7.100,0
2,path,3.900,7.100,0
2,path,4.100,7.100,0
2,path,4.300,7.100,0
2,path,4.500,7.100,0
2,path,4.700,7.100,0
2,path,4.900,7.100,0
2,path,5.100,7.300,0
2,path,5.300,7.500,0
2,path,5.500,7.500,0
2,path,5.700,7.500,0
2,path,5.900,7.700,0
2,path,6.100,7.900,0
2,path,6.300,8.100,0
2,path,6.500,8.300,0
2,path,6.700,8.300,0
2,path,6.900,8.500,0
2,path,7.100,8.500,0
2,path,7.300,8.500,0
2,path,7.500,8.500,0
2,path,7.700,8.500,0
2,path,7.900,8.500,0
2,path,8.100,8.500,0
2,path,8.300,8.500,0
2,path,8.500,8.500,0
2,path,8.700,8.500,0
2,path,8.900,8.300,0
2,path,9.100,8.100,0
2,path,9.300,7.900,0
2,path,9.500,7.700,0
2,path,9.700,7.700,0
2,path,9.900,7.500,0
2,path,10.100,7.500,0
2,path,10.300,7.500,0
2,path,10.500,7.500,0
2,path,10.700,7.500,0
2,path,10.900,7.500,0
2,path,11.100,7.500,0
2,path,11.300,7.500,0
2,path,11.500,7.500,0
2,path,11.700,7.500,0
2,path,11.900,7.700,0
2,path,12.100,7.900,0
2,path,12.300,8.100,0
2,path,12.500,8.300,0
2,path,12.700,8.300,0
2,path,12.900,8.500,0
2,path,13.100,8.500,0
2,path,13.300,8.500,0
2,path,13.500,8.500,0
2,path,13.700,8.500,0
2,path,13.900,8.500,0
2,path,14.100,8.500,0
2,path,14.300,8.500,0
2,path,14.500,8.500,0
2,path,14.700,8.500,0
2,path,14.900,8.300,0
2,path,15.100,8.100,0
2,path,15.300,7.900,0
2,path,15.500,7.700,0
2,path,15.700,7.700,0
2,path,15.900,7.500,0
2,path,16.100,7.500,0
2,path,16.300,7.500,0
2,path,16.500,7.500,0
2,path,16.700,7.500,0
2,path,16.900,7.500,0
2,path,17.100,7.500,0
2,path,17.300,7.500,0
2,path,17.500,7.500,0
2,path,17.700,7.500,0
2,path,17.900,7.500,0
2,path,18.100,7.500,0
2,path,18.300,7.500,0
2,path,18.500,7.500,0
2,path,18.700,7.500,0
2,path,18.900,7.500,0
2,path,19.100,7.500,0
2,path,19.300,7.500,0
2,path,19.500,7.500,0
2,path,19.700,7.500,0
2,path,19.900,7.300,0
2,path,20.100,7.300,0
2,path,20.300,7.100,0
2,path,20.500,7.000,0
