scene,method,t,x,y
0,A,0.0000,1.5000,7.0000
0,A,0.0134,1.5000,7.0000
0,A,0.0267,1.5000,7.0000
0,A,0.0401,1.5001,7.0000
0,A,0.0534,1.5002,7.0001
0,A,0.0668,1.5004,7.0002
0,A,0.0801,1.5008,7.0004
0,A,0.0935,1.5012,7.0006
0,A,0.1069,1.5018,7.0009
0,A,0.1202,1.5025,7.0012
0,A,0.1336,1.5034,7.0017
0,A,0.1469,1.5045,7.0022
0,A,0.1603,1.5058,7.0029
0,A,0.1736,1.5073,7.0036
0,A,0.1870,1.5090,7.0045
0,A,0.2003,1.5110,7.0055
0,A,0.2137,1.5133,7.0066
0,A,0.2271,1.5158,7.0079
0,A,0.2404,1.5186,7.0093
0,A,0.2538,1.5217,7.0109
0,A,0.2671,1.5251,7.0126
0,A,0.2805,1.5289,7.0145
0,A,0.2938,1.5330,7.0165
0,A,0.3072,1.5374,7.0187
0,A,0.3206,1.5421,7.0211
0,A,0.3339,1.5473,7.0237
0,A,0.3473,1.5528,7.0265
0,A,0.3606,1.5586,7.0294
0,A,0.3740,1.5649,7.0326
0,A,0.3873,1.5715,7.0359
0,A,0.4007,1.5786,7.0394
0,A,0.4140,1.5860,7.0432
0,A,0.4274,1.5939,7.0471
0,A,0.4408,1.6021,7.0513
0,A,0.4541,1.6108,7.0557
0,A,0.4675,1.6199,7.0602
0,A,0.4808,1.6295,7.0650
0,A,0.4942,1.6395,7.0700
0,A,0.5075,1.6499,7.0753
0,A,0.5209,1.6607,7.0807
0,A,0.5343,1.6721,7.0864
0,A,0.5476,1.6838,7.0923
0,A,0.5610,1.6960,7.0984
0,A,0.5743,1.7087,7.1048
0,A,0.5877,1.7218,7.1113
0,A,0.6010,1.7353,7.1181
0,A,0.6144,1.7493,7.1251
0,A,0.6277,1.7638,7.1324
0,A,0.6411,1.7787,7.1399
0,A,0.6545,1.7941,7.1475
0,A,0.6678,1.8100,7.1554
0,A,0.6812,1.8263,7.1636
0,A,0.6945,1.8430,7.1719
0,A,0.7079,1.8602,7.1805
0,A,0.7212,1.8779,7.1893
0,A,0.7346,1.8960,7.1983
0,A,0.7480,1.9146,7.2075
0,A,0.7613,1.9336,7.2169
0,A,0.7747,1.9530,7.2265
0,A,0.7880,1.9729,7.2364
0,A,0.8014,1.9933,7.2464
0,A,0.8147,2.0141,7.2567
0,A,0.8281,2.0353,7.2671
0,A,0.8415,2.0570,7.2777
0,A,0.8548,2.0790,7.2886
0,A,0.8682,2.1015,7.2996
0,A,0.8815,2.1245,7.3108
0,A,0.8949,2.1478,7.3222
0,A,0.9082,2.1716,7.3338
0,A,0.9216,2.1958,7.3455
0,A,0.9349,2.2203,7.3574
0,A,0.9483,2.2453,7.3695
0,A,0.9617,2.2707,7.3817
0,A,0.9750,2.2964,7.3941
0,A,0.9884,2.3226,7.4066
0,A,1.0017,2.3491,7.4193
0,A,1.0151,2.3760,7.4322
0,A,1.0284,2.4033,7.4451
0,A,1.0418,2.4309,7.4582
0,A,1.0552,2.4589,7.4715
0,A,1.0685,2.4873,7.4848
0,A,1.0819,2.5159,7.4983
0,A,1.0952,2.5450,7.5119
0,A,1.1086,2.5743,7.5256
0,A,1.1219,2.6040,7.5394
0,A,1.1353,2.6341,7.5532
0,A,1.1486,2.6644,7.5672
0,A,1.1620,2.6950,7.5813
0,A,1.1754,2.7260,7.5954
0,A,1.1887,2.7572,7.6096
0,A,1.2021,2.7888,7.6238
0,A,1.2154,2.8206,7.6381
0,A,1.2288,2.8527,7.6525
0,A,1.2421,2.8850,7.6669
0,A,1.2555,2.9177,7.6813
0,A,1.2689,2.9506,7.6958
0,A,1.2822,2.9837,7.7103
0,A,1.2956,3.0171,7.7248
0,A,1.3089,3.0507,7.7394
0,A,1.3223,3.0846,7.7539
0,A,1.3356,3.1187,7.7684
0,A,1.3490,3.1530,7.7829
0,A,1.3623,3.1875,7.7974
0,A,1.3757,3.2222,7.8119
0,A,1.3891,3.2571,7.8264
0,A,1.4024,3.2922,7.8408
0,A,1.4158,3.3276,7.8551
0,A,1.4291,3.3630,7.8695
0,A,1.4425,3.3987,7.8837
0,A,1.4558,3.4346,7.8979
0,A,1.4692,3.4706,7.9121
0,A,1.4826,3.5067,7.9261
0,A,1.4959,3.5431,7.9401
0,A,1.5093,3.5795,7.9540
0,A,1.5226,3.6161,7.9678
0,A,1.5360,3.6529,7.9815
0,A,1.5493,3.6898,7.9951
0,A,1.5627,3.7268,8.0086
0,A,1.5761,3.7640,8.0220
0,A,1.5894,3.8012,8.0353
0,A,1.6028,3.8386,8.0484
0,A,1.6161,3.8761,8.0614
0,A,1.6295,3.9137,8.0743
0,A,1.6428,3.9514,8.0870
0,A,1.6562,3.9892,8.0996
0,A,1.6695,4.0272,8.1120
0,A,1.6829,4.0652,8.1243
0,A,1.6963,4.1033,8.1364
0,A,1.7096,4.1414,8.1483
0,A,1.7230,4.1797,8.1601
0,A,1.7363,4.2181,8.1717
0,A,1.7497,4.2565,8.1831
0,A,1.7630,4.2950,8.1944
0,A,1.7764,4.3336,8.2054
0,A,1.7898,4.3722,8.2163
0,A,1.8031,4.4109,8.2270
0,A,1.8165,4.4497,8.2375
0,A,1.8298,4.4885,8.2478
0,A,1.8432,4.5275,8.2579
0,A,1.8565,4.5664,8.2678
0,A,1.8699,4.6054,8.2775
0,A,1.8832,4.6445,8.2870
0,A,1.8966,4.6836,8.2962
0,A,1.9100,4.7228,8.3053
0,A,1.9233,4.7620,8.3142
0,A,1.9367,4.8013,8.3228
0,A,1.9500,4.8406,8.3313
0,A,1.9634,4.8799,8.3395
0,A,1.9767,4.9193,8.3476
0,A,1.9901,4.9587,8.3554
0,A,2.0035,4.9982,8.3630
0,A,2.0168,5.0377,8.3704
0,A,2.0302,5.0772,8.3776
0,A,2.0435,5.1168,8.3845
0,A,2.0569,5.1564,8.3913
0,A,2.0702,5.1961,8.3979
0,A,2.0836,5.2357,8.4042
0,A,2.0969,5.2754,8.4104
0,A,2.1103,5.3151,8.4164
0,A,2.1237,5.3549,8.4221
0,A,2.1370,5.3946,8.4277
0,A,2.1504,5.4344,8.4330
0,A,2.1637,5.4743,8.4382
0,A,2.1771,5.5141,8.4432
0,A,2.1904,5.5540,8.4480
0,A,2.2038,5.5938,8.4526
0,A,2.2172,5.6337,8.4570
0,A,2.2305,5.6737,8.4612
0,A,2.2439,5.7136,8.4653
0,A,2.2572,5.7535,8.4692
0,A,2.2706,5.7935,8.4729
0,A,2.2839,5.8335,8.4764
0,A,2.2973,5.8735,8.4798
0,A,2.3107,5.9135,8.4830
0,A,2.3240,5.9535,8.4861
0,A,2.3374,5.9936,8.4890
0,A,2.3507,6.0336,8.4917
0,A,2.3641,6.0737,8.4943
0,A,2.3774,6.1137,8.4967
0,A,2.3908,6.1538,8.4991
0,A,2.4041,6.1939,8.5012
0,A,2.4175,6.2340,8.5032
0,A,2.4309,6.2741,8.5051
0,A,2.4442,6.3142,8.5069
0,A,2.4576,6.3543,8.5085
0,A,2.4709,6.3945,8.5100
0,A,2.4843,6.4346,8.5114
0,A,2.4976,6.4747,8.5126
0,A,2.5110,6.5149,8.5138
0,A,2.5244,6.5550,8.5148
0,A,2.5377,6.5952,8.5157
0,A,2.5511,6.6353,8.5165
0,A,2.5644,6.6755,8.5173
0,A,2.5778,6.7156,8.5179
0,A,2.5911,6.7558,8.5184
0,A,2.6045,6.7960,8.5188
0,A,2.6178,6.8361,8.5191
0,A,2.6312,6.8763,8.5194
0,A,2.6446,6.9165,8.5195
0,A,2.6579,6.9566,8.5196
0,A,2.6713,6.9968,8.5196
0,A,2.6846,7.0370,8.5195
0,A,2.6980,7.0771,8.5194
0,A,2.7113,7.1173,8.5192
0,A,2.7247,7.1575,8.5189
0,A,2.7381,7.1976,8.5185
0,A,2.7514,7.2378,8.5181
0,A,2.7648,7.2780,8.5177
0,A,2.7781,7.3181,8.5172
0,A,2.7915,7.3583,8.5166
